Monthly subscription fee: $0–30 (inclusive)
Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
API cost/mo = this row's adopted monthly allowance priced at the provider's official metered rates (same standard workload weighting); the bracketed figure is that amount ÷ the monthly fee, i.e. how many times the subscription fee the same tokens would cost at list price. Below 1× means the subscription costs more than buying the same tokens on the API. * = the rate is not a first-party rate card (vendor page is JS-rendered or the model is open-weight; a named gateway or tracker is used, low confidence); ‡ = this row's allowance was itself derived from a sibling model by a list-price ratio, so the figure repeats that row and is not independent evidence for this model. - = no defensible public rate found; left blank rather than invented. Cache writes are not modeled, so the figure is a floor.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee  Served model                  Monthly tokens (B)  USD/MTok  API cost/mo      Confidence
60   SuperGrok                           USD 30       Grok 4.5                      0.509               0.05894   181 (6.05×)      medium
61   ChatGPT Plus                        USD 20       GPT 5.5                       0.4805              0.04162   336 (16.82×)‡    medium
62   Cursor Pro                          USD 20       Grok 4.6                      0.47                0.04255   259 (12.96×)     medium
63   Command Code GOAT                   USD 10       DeepSeek V4 Pro               0.4698              0.02129   40 (4×)          medium
64   OpenCode Go                         USD 10       Hy4 Preview                   0.4436              0.02254   30 (3×)          medium
65   OpenCode Go                         USD 10       GLM 5.3 Flash                 0.4383              0.02282   15 (1.5×)        medium
66   Ollama Pro                          USD 20       MiniMax M3                    0.4338              0.0461    30 (1.5×)        medium
67   Cursor Pro (Composer Fast)          USD 20       Composer 2.5                  0.4288              0.04664   92 (4.6×)        medium
68   GLM Coding Lite (v3 ¥118) Off-peak  CNY 118      GLM 5.3                       0.423               0.04115   126 (7.26×)      high
69   GLM Coding Lite (v2 ¥49) Off-peak   CNY 49       GLM 5.3                       0.423               0.01709   126 (17.49×)     high
70   Command Code GOAT                   USD 10       Step 3.7 Flash                0.4226              0.02366   12 (1.18×)*      medium
71   Command Code GOAT                   USD 10       Qwen3.7 Plus                  0.3579              0.02794   33 (3.3×)        medium
72   OpenCode Go                         USD 10       DeepSeek V4 Pro               0.3524              0.02838   30 (3×)          medium
73   GLM Coding Lite (v3 ¥118) Midpoint  CNY 118      GLM 5.3                       0.317               0.05491   95 (5.44×)       high
