plan_id,plan,channel,fee_usd,group,multiple,cost_usd_month,models,model_count_in_group,inherited,third_party_rate,plan_model_count,plan_value_group_count,plan_varies,plan_best_multiple,plan_best_model,plan_worst_multiple,plan_worst_model
opencode_go,OpenCode Go,OpenCode,10.0,exception,1.5,15.0,GLM 5.3 | GLM 5.3 Flash | GPT 5.6 Luna | Grok 4.6 | Kimi K3,5,False,False,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
opencode_go,OpenCode Go,OpenCode,10.0,exception,1.26,12.61,Qwen3.8 Max,1,False,False,26,12,True,21.37,MiMo V2.5 Pro,1.26,Qwen3.8 Max
minimax_token_plus_cn,MiniMax Token Plan Plus,MiniMax,7.23,shared,5.74,41.49,MiniMax M2.7 | MiniMax M3,2,False,False,2,1,False,5.74,MiniMax M3,5.74,MiniMax M2.7
glm_coding_max_cn_new_peak,GLM Coding Max (新客 ¥1078) 忙时,Zhipu,159.03,shared,5.57,885.94,GLM 5.3,1,False,False,2,2,False,5.57,GLM 5.3,1.93,GLM 5.3 Flash
glm_coding_max_cn_new_peak,GLM Coding Max (新客 ¥1078) 忙时,Zhipu,159.03,exception,1.93,307.41,GLM 5.3 Flash,1,False,False,2,2,False,5.57,GLM 5.3,1.93,GLM 5.3 Flash
glm_coding_lite_cn_new_mid,GLM Coding Lite (新客 ¥118) 中间值,Zhipu,17.41,shared,5.44,94.78,GLM 5.3,1,False,False,2,2,False,5.44,GLM 5.3,1.89,GLM 5.3 Flash
glm_coding_lite_cn_new_mid,GLM Coding Lite (新客 ¥118) 中间值,Zhipu,17.41,exception,1.89,32.92,GLM 5.3 Flash,1,False,False,2,2,False,5.44,GLM 5.3,1.89,GLM 5.3 Flash
minimax_token_plus_global,MiniMax Token Plan Plus (Global),MiniMax,22.0,shared,5.34,117.56,MiniMax M2.7 | MiniMax M3,2,False,False,2,1,False,5.34,MiniMax M3,5.34,MiniMax M2.7
minimax_token_ultra_global,MiniMax Token Plan Ultra (Global),MiniMax,132.0,shared,5.13,677.67,MiniMax M3,1,False,False,1,1,False,5.13,MiniMax M3,5.13,MiniMax M3
glm_coding_pro_cn_new_peak,GLM Coding Pro (新客 ¥538) 忙时,Zhipu,79.37,shared,4.78,379.73,GLM 5.3,1,False,False,2,2,False,4.78,GLM 5.3,1.66,GLM 5.3 Flash
glm_coding_pro_cn_new_peak,GLM Coding Pro (新客 ¥538) 忙时,Zhipu,79.37,exception,1.66,131.77,GLM 5.3 Flash,1,False,False,2,2,False,4.78,GLM 5.3,1.66,GLM 5.3 Flash
cursor_pro_composer_fast,Cursor Pro (Composer Fast),Cursor,20.0,shared,4.6,91.98,Composer 2.5,1,False,False,1,1,False,4.6,Composer 2.5,4.6,Composer 2.5
glm_coding_lite_cn_new_peak,GLM Coding Lite (新客 ¥118) 忙时,Zhipu,17.41,shared,3.64,63.39,GLM 5.3,1,False,False,2,2,False,3.64,GLM 5.3,1.26,GLM 5.3 Flash
glm_coding_lite_cn_new_peak,GLM Coding Lite (新客 ¥118) 忙时,Zhipu,17.41,exception,1.26,21.97,GLM 5.3 Flash,1,False,False,2,2,False,3.64,GLM 5.3,1.26,GLM 5.3 Flash
ollama_max,Ollama Max,Ollama,100.0,shared,3.0,299.99,GLM 5.2 | GLM 5.3 | GLM 5.3 Flash | Kimi K2.7 Code | Kimi K3 | MiniMax M2.7,6,False,False,10,4,False,6.0,DeepSeek V4 Flash,1.5,MiniMax M3
ollama_max,Ollama Max,Ollama,100.0,exception,6.0,600.0,DeepSeek V4 Flash | DeepSeek V4 Pro,2,False,False,10,4,False,6.0,DeepSeek V4 Flash,1.5,MiniMax M3
ollama_max,Ollama Max,Ollama,100.0,exception,3.94,393.93,GLM 5.1,1,False,False,10,4,False,6.0,DeepSeek V4 Flash,1.5,MiniMax M3
ollama_max,Ollama Max,Ollama,100.0,exception,1.5,150.0,MiniMax M3,1,False,False,10,4,False,6.0,DeepSeek V4 Flash,1.5,MiniMax M3
